checkpoint	split	base_only	r1	mrr	error
epoch=0-step=2501.ckpt	R10	False	0.6319	0.7634	
epoch=0-step=2501.ckpt	R10	True	0.6266	0.7598	
epoch=0-step=2501.ckpt	R20	False	0.5187	0.665	
epoch=0-step=2501.ckpt	R20	True	0.5118	0.6592	
epoch=1-step=5003.ckpt	R10	False	0.6874	0.8038	
epoch=1-step=5003.ckpt	R10	True	0.684	0.8007	
epoch=1-step=5003.ckpt	R20	False	0.5751	0.7112	
epoch=1-step=5003.ckpt	R20	True	0.5708	0.7078	
epoch=2-step=7505.ckpt	R10	False	0.7152	0.8227	
epoch=2-step=7505.ckpt	R10	True	0.7152	0.8223	
epoch=2-step=7505.ckpt	R20	False	0.5992	0.7326	
epoch=2-step=7505.ckpt	R20	True	0.5971	0.731	
epoch=3-step=10007.ckpt	R10	False	0.7384	0.8377	
epoch=3-step=10007.ckpt	R10	True	0.7374	0.8368	
epoch=3-step=10007.ckpt	R20	False	0.6214	0.7495	
epoch=3-step=10007.ckpt	R20	True	0.6162	0.7463	
epoch=4-step=12509.ckpt	R10	False	0.7456	0.8438	
epoch=4-step=12509.ckpt	R10	True	0.7474	0.8442	
epoch=4-step=12509.ckpt	R20	False	0.6277	0.7553	
epoch=4-step=12509.ckpt	R20	True	0.6241	0.7532	
epoch=5-step=15011.ckpt	R10	False	0.7564	0.8505	
epoch=5-step=15011.ckpt	R10	True	0.7532	0.8487	
epoch=5-step=15011.ckpt	R20	False	0.6336	0.7605	
epoch=5-step=15011.ckpt	R20	True	0.6296	0.7587	
epoch=6-step=17513.ckpt	R10	False	0.7591	0.8533	
epoch=6-step=17513.ckpt	R10	True	0.7567	0.8516	
epoch=6-step=17513.ckpt	R20	False	0.6407	0.7659	
epoch=6-step=17513.ckpt	R20	True	0.6385	0.7644	
epoch=7-step=20015.ckpt	R10	False	0.761	0.8542	
epoch=7-step=20015.ckpt	R10	True	0.7587	0.8532	
epoch=7-step=20015.ckpt	R20	False	0.6421	0.7671	
epoch=7-step=20015.ckpt	R20	True	0.6385	0.7651	
epoch=8-step=22517.ckpt	R10	False	0.7627	0.8553	
epoch=8-step=22517.ckpt	R10	True	0.7596	0.8536	
epoch=8-step=22517.ckpt	R20	False	0.643	0.7681	
epoch=8-step=22517.ckpt	R20	True	0.6406	0.7665	
epoch=9-step=25019.ckpt	R10	False	0.7634	0.8558	
epoch=9-step=25019.ckpt	R10	True	0.7606	0.8542	
epoch=9-step=25019.ckpt	R20	False	0.6445	0.7688	
epoch=9-step=25019.ckpt	R20	True	0.6413	0.7669	
